,Title1,Title2,Support,Confident,Lift
91,1 Season,TV-Y,0.00737,0.29545,28.9151
92,1 Season,TV-Y7,0.00522,0.20909,19.5922
93,"Kids' TV, TV Comedies",1 Season,0.00499,1.0,3.29147
94,TV Show,Reality TV,0.00737,0.68421,3.36114
95,Reality TV,1 Season,0.00544,0.50526,11.0705
96,Reality TV,1 Season,0.00726,0.67368,3.51737
97,South Korea,1 Season,0.01566,0.69346,3.40661
98,South Korea,1 Season,0.00806,0.35678,5.88493
99,South Korea,1 Season,0.01475,0.65326,3.41077
100,TV Show,1 Season,0.06062,0.29782,3.57877
101,TV Show,1 Season,0.00647,1.0,3.29147
102,TV Show,1 Season,0.08764,0.43056,3.31214
103,TV Show,1 Season,0.02713,1.0,3.29147
104,TV Show,1 Season,0.01021,1.0,3.29147
105,TV Show,1 Season,0.01067,1.0,3.29147
106,TV Show,1 Season,0.00760,0.82716,4.06337
107,TV Show,1 Season,0.01487,1.0,3.29147
108,TV Show,1 Season,0.04564,1.0,3.29147
109,TV Show,1 Season,0.19153,0.94088,3.27690
110,1 Season,Taiwan,0.00681,0.74074,3.86748
111,2 Seasons,2016,0.00465,1.0,3.29147
112,2 Seasons,2017,0.00465,1.0,3.29147
113,2 Seasons,TV Show,0.00715,1.0,3.29147
114,2 Seasons,2019,0.00828,1.0,3.29147
115,2 Seasons,TV Show,0.00783,1.0,3.29147
116,2 Seasons,2021,0.00647,1.0,3.29147
117,2 Seasons,TV Show,0.00476,1.0,3.29147
118,2 Seasons,Japan,0.00454,0.24691,5.11721
119,2 Seasons,TV Show,0.00635,0.25454,5.27537
120,2 Seasons,nan,0.00624,0.25,5.41031
121,2 Seasons,TV Show,0.00828,1.0,3.29147
122,2 Seasons,TV Show,0.02168,0.44941,3.45713
123,2 Seasons,TV Show,0.00613,1.0,3.29147
124,2 Seasons,TV Show,0.00635,1.0,3.29147
125,2 Seasons,TV Show,0.01453,0.30117,3.49047
126,2 Seasons,TV Show,0.04620,0.95764,3.33529
127,2 Seasons,nan,0.00601,0.22943,4.75501
128,2 Seasons,nan,0.00613,0.20930,4.33772
129,TV Show,3 Seasons,0.01078,0.47738,3.67233
130,TV Show,3 Seasons,0.00896,0.39698,4.60084
131,TV Show,3 Seasons,0.02225,0.98492,3.43029
132,3 Seasons,nan,0.00885,0.39195,3.55183
133,TV Show,United States,0.00601,0.55789,6.46570
134,TV Show,nan,0.01033,0.95789,3.33615
135,United States,nan,0.00590,0.54736,4.96010
136,TV Show,5 Seasons,0.00669,0.90769,3.16131
137,R,Action & Adventure,0.00976,0.67187,7.42518
138,R,Action & Adventure,0.00499,0.34375,6.88125
139,India,"Action & Adventure, Dramas, International Movies",0.00613,0.40909,4.03501
140,"Anime Series, International TV Shows",TV Show,0.00851,0.85227,44.4190
141,"Anime Series, International TV Shows",Japan,0.00794,0.79545,43.2491
142,"Anime Series, International TV Shows",TV Show,0.00465,0.46590,5.59853
143,"Anime Series, International TV Shows",TV Show,0.00942,0.94318,3.28491
144,TV-Y,Children & Family Movies,0.00965,0.39534,26.5819
145,TV-Y7,Children & Family Movies,0.00794,0.32558,20.6310
146,Children & Family Movies,nan,0.00942,0.38604,3.59439
147,Children & Family Movies,nan,0.00488,0.2,7.62597
148,"Children & Family Movies, Comedies",PG,0.01123,0.49253,15.1159
149,"Children & Family Movies, Comedies",TV-Y7,0.00454,0.28776,12.6103
150,"Children & Family Movies, Comedies",PG,0.00601,0.26368,14.1616
151,Comedies,United States,0.00953,0.76363,3.26827
152,"Comedies, Dramas, International Movies",Movie,0.01362,0.43795,4.31972
153,"Comedies, Dramas, International Movies",TV-14,0.00919,0.29562,4.73422
154,"Comedies, Dramas, International Movies",TV-14,0.01578,0.50729,3.13124
155,TV-14,Movie,0.00840,0.48684,3.00497
156,TV Show,"Crime TV Shows, Docuseries",0.00454,0.8,6.15406
157,TV Show,"Crime TV Shows, Docuseries",0.00465,0.82000,9.50336
158,TV Show,"Crime TV Shows, Docuseries",0.00544,0.96,3.34348
159,"Crime TV Shows, Docuseries",nan,0.00465,0.82000,7.43061
160,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV Show,0.00669,0.95161,7.32035
161,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV Show,0.00658,0.93548,3.25810
162,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",nan,0.00635,0.90322,5.74412
163,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,0.00976,0.78181,6.01419
164,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,0.01055,1.0,3.29147
165,"Crime TV Shows, International TV Shows, TV Dramas",nan,0.00783,0.62727,3.98918
166,"December 31, 2019",India,0.00613,0.72972,7.19760
167,Documentaries,Movie,0.00862,0.21169,3.45304
168,nan,Documentaries,0.02304,0.56545,5.26487
169,nan,Documentaries,0.01566,0.38440,3.48333
170,"Documentaries, International Movies",Movie,0.00488,0.23118,3.77084
171,"Documentaries, International Movies",nan,0.01385,0.65591,6.10707
172,"Documentaries, Music & Musicals",Movie,0.00669,0.71951,3.07942
173,TV Show,United States,0.00692,0.71764,8.31715
174,TV Show,nan,0.00919,0.95294,3.31890
175,nan,United States,0.00647,0.67058,6.07668
176,Dramas,R,0.00499,0.31884,3.52364
177,"Dramas, Independent Movies",R,0.00579,0.51,5.63623
178,United States,"Dramas, Independent Movies",0.00840,0.74,3.16711
179,India,Movie,0.01226,0.42857,4.22716
180,India,TV-14,0.00465,0.66129,5.99243
181,India,TV-MA,0.00590,0.20634,7.32872
182,Movie,India,0.01339,0.32596,3.21513
183,India,TV-14,0.00828,0.20165,3.22945
184,"Dramas, International Movies, Romantic Movies",India,0.00703,0.34444,3.39738
185,"Dramas, International Movies, Romantic Movies",TV-14,0.01044,0.51111,3.15477
186,India,"Dramas, International Movies, Thrillers",0.00488,0.32089,3.16511
187,R,"Dramas, Thrillers",0.00510,0.54878,6.06481
188,Egypt,TV-14,0.00692,0.57547,3.55203
189,India,"March 1, 2018",0.00544,0.63999,6.31256
190,"October 1, 2018",India,0.00533,0.66197,6.52928
191,India,TV-14,0.05971,0.54115,3.34020
192,South Korea,"International TV Shows, Korean TV Shows, Romantic TV Shows",0.00715,0.96923,54.0315
193,South Korea,"International TV Shows, Korean TV Shows, Romantic TV Shows",0.00658,0.89230,52.0493
194,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",0.00681,0.92307,3.21489
195,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies",0.00556,0.52127,6.26385
196,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies",0.00999,0.93617,3.26049
197,nan,"International TV Shows, Romantic TV Shows, TV Comedies",0.00533,0.5,4.65539
198,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",0.00601,0.58888,7.07630
199,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",0.01010,0.98888,3.44410
200,"International TV Shows, Romantic TV Shows, TV Dramas",nan,0.00601,0.58888,5.48301
201,TV Show,TV-14,0.00658,0.47933,5.75991
202,TV Show,TV-MA,0.00556,0.40495,3.11517
